region,region.code,age,lx_rural_female,lx_rural_male,lx_urban_female,lx_urban_male,lx_national_female,lx_national_male,mx_rural_female,mx_rural_male,mx_urban_female,mx_urban_male,mx_national_female,mx_national_male
MA,840-25,18,99389.52484,99150.23297,99389.52484,99150.23297,NA,NA,2.10E-04,0.000593052,0.000209887,0.000593052,NA,NA
MA,840-25,19,99368.66648,99091.44918,99368.66648,99091.44918,NA,NA,0.000236347,0.000708407,0.000236347,0.000708407,NA,NA
MA,840-25,20,99345.18372,99021.27692,99345.18372,99021.27692,NA,NA,0.00026299,0.000825332,0.00026299,0.000825332,NA,NA
MA,840-25,21,99319.06044,98939.58524,99319.06044,98939.58524,NA,NA,0.00028905,0.000931206,0.00028905,0.000931206,NA,NA
MA,840-25,22,99290.35651,98847.49498,99290.35651,98847.49498,NA,NA,0.000312251,0.001009035,0.000312251,0.001009035,NA,NA
MA,840-25,23,99259.35786,98747.80428,99259.35786,98747.80428,NA,NA,0.000332543,0.001053498,0.000332543,0.001053498,NA,NA
MA,840-25,24,99226.35518,98643.82797,99226.35518,98643.82797,NA,NA,0.000352157,0.001075347,0.000352157,0.001075347,NA,NA
MA,840-25,25,99191.41794,98537.80911,99191.41794,98537.80911,NA,NA,0.0003726,0.00108879,0.0003726,0.00108879,NA,NA
MA,840-25,26,99154.46642,98430.58046,99154.46642,98430.58046,NA,NA,0.000394627,0.001106451,0.000394627,0.001106451,NA,NA
MA,840-25,27,99115.34526,98321.73204,99115.34526,98321.73204,NA,NA,0.000417496,0.001127491,0.000417496,0.001127491,NA,NA
MA,840-25,28,99073.97397,98210.93767,99073.97397,98210.93767,NA,NA,0.000441204,0.001154439,0.000441204,0.001154439,NA,NA
MA,840-25,29,99030.27194,98097.62411,99030.27194,98097.62411,NA,NA,0.00046499,0.001186477,0.00046499,0.001186477,NA,NA
MA,840-25,30,98984.23456,97981.30203,98984.23456,97981.30203,NA,NA,0.000491167,0.001220249,0.000491167,0.001220249,NA,NA
MA,840-25,31,98935.62889,97861.81383,98935.62889,97861.81383,NA,NA,0.000520522,0.001253197,0.000520522,0.001253197,NA,NA
MA,840-25,32,98884.14427,97739.25045,98884.14427,97739.25045,NA,NA,0.000552305,0.001285339,0.000552305,0.001285339,NA,NA
MA,840-25,33,98829.54495,97613.70307,98829.54495,97613.70307,NA,NA,0.00058966,0.00131666,0.00058966,0.00131666,NA,NA
MA,840-25,34,98771.28605,97485.26305,98771.28605,97485.26305,NA,NA,0.000632646,0.00135057,0.000632646,0.00135057,NA,NA
MA,840-25,35,98708.81875,97353.69174,98708.81875,97353.69174,NA,NA,0.000683673,0.001395528,0.000683673,0.001395528,NA,NA
MA,840-25,36,98641.35747,97217.92612,98641.35747,97217.92612,NA,NA,0.000742839,0.001452476,0.000742839,0.001452476,NA,NA
